VEL,D20140322,X,Y,LON,LAT,Downslope ,Local Upsl,Upslope Cu,Local Curv,Minimal Cu,Cross-Sect,Tangential,Plan Curva,Flow Line ,Aspect,General Cu,Total Curv,Slope,Maximal Cu,Longitudin,Profile Cu,Local Down,cat,twi,TRI,tpi,spi,dem_randaz,curvature,ELEVATION,COHERENCE
-0.1,-12.7,497078.0734,4193341.035,14.96677031,37.88756745,0.00324,0.21137,0.17117,0.15226,-0.00057,0.00404,0.00255,0.01249,0.00008,0.28849,0.00644,0.00001,0.20597,0.00379,0.0024,0.00057,0.02674,66.62337,11.04467,5.41965,0.50009,-61.01678,666.34,0.00644,714.2,0.64
0.4,-4.1,496999.7213,4193328.905,14.9658793,37.88745787,-0.05677,-0.05133,-0.04153,-0.03706,-0.00166,-0.00128,-0.00055,-0.00364,-0.00003,6.21498,-0.00156,0,0.15289,0.00088,-0.00028,-0.00021,-0.03163,66.64517,11.045,3.76822,-1.88082,-20.74101,666.427,-0.00156,708.5,0.66
1.4,-2.7,497007.6058,4193330.339,14.96596896,37.88747082,-0.06137,-0.03669,-0.02749,-0.03603,-0.00163,-0.0013,-0.00048,-0.0029,-0.00003,6.12599,-0.00153,0,0.16538,0.00087,-0.00023,-0.00027,-0.03595,66.66292,3.73318,4.0975,-1.50676,99.88017,666.602,-0.00153,708.2,0.65
-0.7,-4.6,496828.4119,4193299.829,14.96393121,37.88719522,0.08486,0.05769,0.0869,0.18332,-0.00123,0.00082,-0.00064,-0.00489,0.00002,0.63968,0.00771,0.00002,0.13147,0.00509,0.00689,0.00439,0.34047,48.17743,10.7205,3.38409,1.65136,-221.34351,681.458,0.00771,735,0.71
-0.8,-0.4,496828.3987,4193299.829,14.96393106,37.88719522,0.08486,0.05769,0.0869,0.18332,-0.00123,0.00082,-0.00064,-0.00489,0.00002,0.63968,0.00771,0.00002,0.13147,0.00509,0.00689,0.00439,0.34047,48.17743,10.7205,3.38409,1.65136,-221.34351,681.458,0.00771,733.5,0.76
-0.2,-7.6,497098.4542,4193348.942,14.96700206,37.88763878,-0.1192,-0.00894,-0.00562,-0.15304,-0.00534,-0.0017,-0.00001,-0.00008,0.00008,0.24305,-0.00704,0.00003,0.15841,0.00182,-0.00534,-0.00338,-0.13564,66.29694,5.54963,4.17447,-1.60562,16.06293,662.806,-0.00704,711.8,0.62
0.8,-5.9,496990.1351,4193331.361,14.96577027,37.88747997,-0.04328,-0.05043,-0.04558,-0.02551,-0.00142,-0.00087,-0.00044,-0.00312,-0.00002,0.00706,-0.00113,0,0.14032,0.00086,-0.00027,-0.00012,-0.01712,66.64191,11.04495,3.48882,-2.09443,-909.20673,666.39,-0.00113,709.4,0.72
0.7,-5.1,496991.5474,4193331.618,14.96578633,37.88748229,-0.04328,-0.05043,-0.04558,-0.02551,-0.00142,-0.00087,-0.00044,-0.00312,-0.00002,0.00706,-0.00113,0,0.14032,0.00086,-0.00027,-0.00012,-0.01712,66.64191,11.04495,3.48882,-2.09443,-909.20673,666.39,-0.00113,709,0.72
1.1,-2.9,496987.153,4193332.918,14.96573635,37.887494,-0.04328,-0.05043,-0.04558,-0.02551,-0.00142,-0.00087,-0.00044,-0.00312,-0.00002,0.00706,-0.00113,0,0.14032,0.00086,-0.00027,-0.00012,-0.01712,66.64191,11.04495,3.48882,-2.09443,-909.20673,666.39,-0.00113,709.1,0.74
0.5,-3.9,496987.0887,4193335.007,14.96573561,37.88751282,-0.04328,-0.05043,-0.04558,-0.02551,-0.00142,-0.00087,-0.00044,-0.00312,-0.00002,0.00706,-0.00113,0,0.14032,0.00086,-0.00027,-0.00012,-0.01712,66.64191,11.04495,3.48882,-2.09443,-909.20673,666.39,-0.00113,709.3,0.7
